competitor_product_id,competitor_name,style_code,brand_name,product_name,category,gender_target,competitor_price,competitor_sale_price,discount_pct,is_on_sale,availability,currency,sizes_available,source_url,scraped_at,data_valid
adidas_lb:A7_280647_ONE,adidas_lb,280647,Adidas,"adilette Slides, Black",Slides & Slippers,men,5040000.0,,,False,in_stock,LBP,"[""38"", ""39 1/3"", ""40 2/3"", ""42"", ""43 1/3"", ""44 2/3"", ""46""]",https://www.adidas.com.lb/en/adidas-adilette-slides-black/A7_280647_ONE.html,2026-04-10T14:25:15Z,True
adidas_lb:A7_280648_ONE,adidas_lb,280648,Adidas,"adilette Slides, White",Slides & Slippers,men,5040000.0,,,False,in_stock,LBP,"[""38"", ""39 1/3"", ""40 2/3"", ""42"", ""43 1/3"", ""44 2/3"", ""46"", ""47 1/3""]",https://www.adidas.com.lb/en/adidas-adilette-slides-white/A7_280648_ONE.html,2026-04-10T14:25:15Z,True
adidas_lb:A7_288022_ONE,adidas_lb,288022,Adidas,"adilette Slides, Blue",Slides & Slippers,men,5040000.0,,,False,in_stock,LBP,"[""38"", ""39 1/3"", ""40 2/3"", ""42"", ""43 1/3"", ""46""]",https://www.adidas.com.lb/en/adidas-adilette-slides-blue/A7_288022_ONE.html,2026-04-10T14:25:16Z,True
adidas_lb:A7_B75806_ONE,adidas_lb,B75806,Adidas,"Samba OG Shoes, White",Originals,women,14310000.0,,,False,in_stock,LBP,"[""36 2/3"", ""37 1/3"", ""38"", ""40"", ""40 2/3"", ""42"", ""42 2/3"", ""43 1/3"", ""44"", ""44 2/3"", ""45 1/3"", ""46"", ""46 2/3"", ""47 1/3""]",https://www.adidas.com.lb/en/adidas-samba-og-shoes-white/A7_B75806_ONE.html,2026-04-10T14:25:16Z,True
adidas_lb:A7_B75807_ONE,adidas_lb,B75807,Adidas,"Samba OG Shoes, Black",Originals,men,14310000.0,,,False,in_stock,LBP,"[""36"", ""36 2/3"", ""37 1/3"", ""38"", ""38 2/3"", ""39 1/3"", ""40"", ""40 2/3"", ""42"", ""42 2/3"", ""43 1/3"", ""44"", ""44 2/3"", ""45 1/3"", ""46"", ""46 2/3"", ""48"", ""48 2/3""]",https://www.adidas.com.lb/en/adidas-samba-og-shoes-black/A7_B75807_ONE.html,2026-04-10T14:25:17Z,True
adidas_lb:A7_BB2507_ONE,adidas_lb,BB2507,Adidas,"Kids Unisex Gazelle Shoes, Black",Originals,unisex,7920000.0,,,False,in_stock,LBP,"[""28"", ""29"", ""30"", ""31"", ""32""]",https://www.adidas.com.lb/en/adidas-kids-unisex-gazelle-shoes-black/A7_BB2507_ONE.html,2026-04-10T14:25:17Z,True
adidas_lb:A7_BB5476_ONE,adidas_lb,BB5476,Adidas,"Gazelle Shoes, Black",Originals,men,14310000.0,,,False,in_stock,LBP,"[""40 2/3"", ""42"", ""42 2/3"", ""43 1/3"", ""44"", ""44 2/3"", ""45 1/3"", ""46""]",https://www.adidas.com.lb/en/adidas-gazelle-shoes-black/A7_BB5476_ONE.html,2026-04-10T14:25:17Z,True
adidas_lb:A7_BB5478_ONE,adidas_lb,BB5478,Adidas,"Gazelle Shoes, Blue",Originals,men,14310000.0,,,False,in_stock,LBP,"[""40 2/3"", ""41 1/3"", ""42"", ""42 2/3"", ""43 1/3"", ""44"", ""44 2/3"", ""45 1/3"", ""46"", ""46 2/3""]",https://www.adidas.com.lb/en/adidas-gazelle-shoes-blue/A7_BB5478_ONE.html,2026-04-10T14:25:18Z,True
adidas_lb:A7_BD7632_ONE,adidas_lb,BD7632,Adidas,"Handball Spezial Shoes, Blue",Originals,men,14310000.0,,,False,in_stock,LBP,"[""42 2/3"", ""44"", ""45 1/3""]",https://www.adidas.com.lb/en/adidas-handball-spezial-shoes-blue/A7_BD7632_ONE.html,2026-04-10T14:25:18Z,True
adidas_lb:A7_BD7633_ONE,adidas_lb,BD7633,Adidas,"Handball Spezial Shoes, Blue",Originals,men,14310000.0,,,False,in_stock,LBP,"[""41 1/3"", ""42"", ""42 2/3"", ""43 1/3"", ""44"", ""44 2/3"", ""45 1/3"", ""46"", ""46 2/3"", ""47 1/3""]",https://www.adidas.com.lb/en/adidas-handball-spezial-shoes-blue/A7_BD7633_ONE.html,2026-04-10T14:25:18Z,True
adidas_lb:A7_DB3021_ONE,adidas_lb,DB3021,Adidas,"Handball Spezial Shoes, Black",Originals,men,14310000.0,,,False,in_stock,LBP,"[""36 2/3"", ""37 1/3"", ""38"", ""42"", ""42 2/3"", ""43 1/3"", ""44"", ""44 2/3"", ""45 1/3"", ""46""]",https://www.adidas.com.lb/en/adidas-handball-spezial-shoes-black/A7_DB3021_ONE.html,2026-04-10T14:25:19Z,True
adidas_lb:A7_EE1151_ONE,adidas_lb,EE1151,Adidas,"Unisex Island Club Trefoil Ankle Socks 3 Pairs, Black",Socks,unisex,1890000.0,,,False,in_stock,LBP,"[""35-38"", ""39-42"", ""43-46""]",https://www.adidas.com.lb/en/adidas-unisex-island-club-trefoil-ankle-socks-3-pairs-black/A7_EE1151_ONE.html,2026-04-10T14:25:19Z,True
adidas_lb:A7_EE1152_ONE,adidas_lb,EE1152,Adidas,"Unisex Island Club Trefoil Ankle Socks - 3 Pairs, Multicolour",Socks,unisex,1890000.0,,,False,in_stock,LBP,"[""39-42"", ""43-46""]",https://www.adidas.com.lb/en/adidas-unisex-island-club-trefoil-ankle-socks---3-pairs-multicolour/A7_EE1152_ONE.html,2026-04-10T14:25:19Z,True
adidas_lb:A7_F35539_ONE,adidas_lb,F35539,Adidas,"Unisex Adilette Aqua Slides, White",Slides & Slippers,unisex,3330000.0,,,False,in_stock,LBP,"[""36 2/3"", ""38"", ""39 1/3"", ""40 2/3"", ""42"", ""43 1/3"", ""44 2/3"", ""46"", ""48 2/3""]",https://www.adidas.com.lb/en/adidas-unisex-adilette-aqua-slides-white/A7_F35539_ONE.html,2026-04-10T14:25:20Z,True
adidas_lb:A7_F35542_ONE,adidas_lb,F35542,Adidas,"Unisex Adilette Aqua Slides, Blue",Slides & Slippers,unisex,3330000.0,,,False,in_stock,LBP,"[""36 2/3"", ""38"", ""39 1/3"", ""40 2/3"", ""42"", ""43 1/3"", ""46"", ""47 1/3""]",https://www.adidas.com.lb/en/adidas-unisex-adilette-aqua-slides-blue/A7_F35542_ONE.html,2026-04-10T14:25:20Z,True
